time,,cu,,gu,,nu,,tris,,,ct,,gt,,nt,,ttris,,reward
19:40:43.798750,[0.3441379225770933, 0.41777819734253396, 0.23790564523057833, 0.7243461166280099],[2, 3, 1, 0.7243461166280099],-1.055
19:40:50.324849,[0.3806294535955528, 0.35634045928033653, 0.26233490295056594, 0.5245096488305134],[3, 2, 1, 0.5245096488305134],-1.075
19:40:56.839839,[0.030917321945813203, 0.32172763987868724, 0.6472163577614235, 0.42238258148255237],[0, 2, 4, 0.42238258148255237],-0.96
19:41:03.497568,[0.016378852294458568, 0.8776863505443856, 0.1051174143205369, 0.2805029922975208],[0, 6, 0, 0.2805029922975208],-1.364
19:41:10.353722,[0.19467821075771097, 0.27974155807065126, 0.5253112730423787, 0.9225978863186559],[1, 1, 4, 0.9225978863186559],-0.895
19:41:17.734038,[0.031667870778460894, 0.007666416739166015, 0.9606276433806183, 0.8365123314447938],[0, 0, 6, 0.8365123314447938],-0.667
19:41:24.587150,[0.0, 0.0, 1.0, 1.0],[0, 0, 6, 1.0],-0.425
19:41:31.365225,[0.0, 0.0, 1.0, 1.0],[0, 0, 6, 1.0],-0.685
[0. 0. 1. 1.],0.425
0.0,[0, 0, 6, 1.0, -0.425]
time,,cu,,gu,,nu,,tris,,,ct,,gt,,nt,,ttris,,reward
19:41:56.063262,[0.2950174905329329, 0.6616089816197587, 0.04250644650002733, 0.3680944434519175],[2, 4, 0, 0.3680944434519175],-1.272
