Timestamp,Reward,Reward_Server,Reward_Locally,Best_BT,Reward_Difference_Percentage
2024-05-31 05:29:49,-0.68,0.0,-0.68,0.0,Infinity
2024-05-31 05:29:51,-0.73,0.0,-0.73,0.0,Infinity
2024-05-31 05:29:53,-0.66,0.0,-0.66,0.0,Infinity
2024-05-31 05:29:55,-0.75,0.0,-0.75,0.0,Infinity
2024-05-31 05:29:57,-0.74,0.0,-0.74,0.0,Infinity
2024-05-31 05:29:59,-0.72,0.0,-0.72,0.0,Infinity
2024-05-31 05:30:01,-0.68,0.0,-0.68,0.0,Infinity
2024-05-31 05:30:03,-1.1,0.0,-1.1,0.0,Infinity
2024-05-31 05:30:05,-1.23,0.0,-1.23,0.0,Infinity
2024-05-31 05:30:07,-1.16,0.0,-1.16,0.0,Infinity
2024-05-31 05:30:09,-1.21,0.0,-1.21,0.0,Infinity
2024-05-31 05:30:11,-1.17,0.0,-1.17,0.0,Infinity
2024-05-31 05:30:13,-1.21,0.0,-1.21,0.0,Infinity
2024-05-31 05:30:15,-0.72,0.0,-0.72,0.0,Infinity
2024-05-31 05:30:17,-0.71,0.0,-0.71,0.0,Infinity
2024-05-31 05:30:19,-0.76,0.0,-0.76,0.0,Infinity
2024-05-31 05:30:21,-0.75,0.0,-0.75,0.0,Infinity
2024-05-31 05:30:23,-0.82,0.0,-0.82,0.0,Infinity
2024-05-31 05:30:25,-0.65,0.0,-0.65,0.0,Infinity
2024-05-31 05:30:27,-0.64,0.0,-0.64,0.0,Infinity
2024-05-31 05:30:29,-0.73,0.0,-0.73,0.0,Infinity
2024-05-31 05:30:31,-0.67,0.0,-0.67,0.0,Infinity
2024-05-31 05:30:33,-0.69,0.0,-0.69,0.0,Infinity
2024-05-31 05:30:35,-0.67,0.0,-0.67,0.0,Infinity
2024-05-31 05:30:37,-0.76,0.0,-0.76,0.0,Infinity
2024-05-31 05:30:39,-0.78,0.0,-0.78,0.0,Infinity
2024-05-31 05:30:41,-0.55,0.0,-0.55,0.0,Infinity
2024-05-31 05:30:43,-0.77,0.0,-0.77,0.0,Infinity
2024-05-31 05:30:45,-0.69,0.0,-0.69,0.0,Infinity
2024-05-31 05:30:47,-0.66,0.0,-0.66,0.0,Infinity
2024-05-31 05:30:49,-0.69,0.0,-0.69,0.0,Infinity
2024-05-31 05:30:51,-0.69,0.0,-0.69,0.0,Infinity
2024-05-31 05:30:53,-0.67,0.0,-0.67,0.0,Infinity
2024-05-31 05:30:55,-0.76,0.0,-0.76,0.0,Infinity
2024-05-31 05:30:57,-0.65,0.0,-0.65,-0.665,0.02255639097744363
2024-05-31 05:30:59,-0.51,0.0,-0.51,-0.66,0.2272727272727273
2024-05-31 05:31:01,-0.42,-0.22,-0.46,-0.66,0.3636363636363637
2024-05-31 05:31:03,-0.4,-0.84,-0.18,-0.66,0.3939393939393939
2024-05-31 05:31:05,-0.46,-1.1,0.18,-0.66,0.30303030303030304
2024-05-31 05:31:07,-0.52,-0.86,-0.34,-0.66,0.21212121212121213
2024-05-31 05:31:09,-0.43,-0.91,-0.2,-0.66,0.3484848484848485
2024-05-31 05:31:11,-0.31,-0.83,-0.05,-0.66,0.5303030303030303
2024-05-31 05:31:13,-0.34,-0.88,-0.07,-0.66,0.48484848484848486
2024-05-31 05:31:15,-0.33,-0.86,-0.07,-0.66,0.5
2024-05-31 05:31:17,-0.37,-0.85,-0.13,-0.66,0.43939393939393945
2024-05-31 05:31:19,-0.34,-0.87,-0.07,-0.66,0.48484848484848486
2024-05-31 05:31:21,-0.35,-0.85,-0.11,-0.66,0.4696969696969698
2024-05-31 05:31:23,-0.31,-0.84,-0.04,-0.66,0.5303030303030303
2024-05-31 05:31:25,-0.33,-0.84,-0.08,-0.66,0.5
2024-05-31 05:31:27,-1.24,-1.1,-1.31,-0.66,-0.8787878787878787
2024-05-31 05:31:29,-1.24,-0.97,-1.38,-0.66,-0.8787878787878787
2024-05-31 05:31:31,-1.26,-0.99,-1.4,-0.66,-0.9090909090909091
2024-05-31 05:31:33,-1.21,-1.03,-1.29,-0.66,-0.8333333333333331
2024-05-31 05:31:35,-1.18,-0.97,-1.29,-0.66,-0.7878787878787877
2024-05-31 05:31:37,-0.97,-0.71,-1.1,-0.66,-0.4696969696969696
2024-05-31 05:31:39,-0.92,-0.6,-1.08,-0.66,-0.3939393939393939
2024-05-31 05:31:41,-0.91,-0.66,-1.04,-0.66,-0.3787878787878788
2024-05-31 05:31:43,-0.89,-0.62,-1.02,-0.66,-0.34848484848484845
2024-05-31 05:31:45,-0.88,-0.68,-0.97,-0.66,-0.33333333333333326
2024-05-31 05:31:49,-0.67,-0.95,-0.53,-0.66,-0.015151515151515164
2024-05-31 05:31:49,-0.74,-1.04,-0.59,-0.66,-0.12121212121212115
2024-05-31 05:31:51,-0.75,-1.08,-0.59,-0.66,-0.1363636363636363
2024-05-31 05:31:53,-0.81,-1.07,-0.68,-0.66,-0.2272727272727273
2024-05-31 05:31:55,-0.74,-0.98,-0.62,-0.66,-0.12121212121212115
2024-05-31 05:31:58,-1.17,-1.09,-1.22,-0.66,-0.7727272727272725
2024-05-31 05:31:59,-1.13,-1.0,-1.2,-0.66,-0.7121212121212119
2024-05-31 05:32:01,-1.11,-1.01,-1.17,-0.66,-0.6818181818181819
2024-05-31 05:32:03,-1.07,-1.03,-1.1,-0.66,-0.6212121212121212
2024-05-31 05:32:05,-1.09,-1.05,-1.12,-0.66,-0.6515151515151516
2024-05-31 05:32:07,-1.08,-1.0,-1.12,-0.66,-0.6363636363636364
2024-05-31 05:32:09,-1.09,-0.92,-1.18,-0.66,-0.6515151515151516
