time,,cu,,gu,,nu,,tris,,,ct,,gt,,nt,,ttris,,reward
22:16:01.826962,[0.38984634399708684, 0.48461525097554325, 0.12496876058157547, 0.6844722100804934],[3, 3, 0, 0.6844722100804934],-1.291
22:16:12.510449,[0.7409850320884228, 0.2047584248865708, 0.05350042784580433, 0.5348060410865673],[5, 1, 0, 0.5348060410865673],-1.529
22:16:23.315402,[0.44705047885093174, 0.4728224596334384, 0.07975978223883706, 0.9875290403098067],[3, 3, 0, 0.9875290403098067],-1.33
22:16:33.988671,[0.8947467524906928, 0.09077864086624354, 0.014022249961635036, 0.7689996469629412],[6, 0, 0, 0.7689996469629412],-1.349
22:16:44.867772,[0.7952863818432206, 0.19924442339759052, 0.004602150670911631, 0.3094850217817734],[5, 1, 0, 0.3094850217817734],-1.624
22:16:55.801566,[0.24380992373327573, 0.5783189883887363, 0.1774287266551162, 0.7773972605225766],[1, 4, 1, 0.7773972605225766],-1.17
22:17:07.400906,[0.05012718002992067, 0.6903566001412128, 0.25913592656377665, 0.7564296964929644],[0, 5, 1, 0.7564296964929644],-1.162
22:17:18.349277,[0.10303283438193438, 0.4935134902900543, 0.4029398251967856, 0.8297963859561891],[0, 3, 3, 0.8297963859561891],-1.12
22:17:29.545844,[0.0032614191275448998, 0.2691518190863067, 0.7274122808962098, 0.9032378050812965],[0, 1, 5, 0.9032378050812965],-0.966
22:17:40.849944,[0.0, 0.0, 1.0, 0.9681675481273854],[0, 0, 6, 0.9681675481273854],-0.937
22:17:52.058742,[0.02011060517618149, 0.04688937505201856, 0.9329936996631077, 0.6657206313289855],[0, 0, 6, 0.6657206313289855],-1.046
22:18:03.358885,[0.19568316349964343, 0.025581371524904285, 0.7787354589954274, 0.9949095137042556],[1, 0, 5, 0.9949095137042556],-0.922
22:18:14.516332,[0.07429897965638675, 0.07853062990260096, 0.8462174877940086, 0.9273339191878338],[0, 0, 6, 0.9273339191878338],-0.949
22:18:25.795354,[0.09817851862970153, 0.1146766229581224, 0.7871448376911264, 0.9998648926610337],[0, 1, 5, 0.9998648926610337],-0.947
22:18:36.772840,[0.10243166902506529, 0.05273383096998052, 0.8447966505741815, 0.9912024207260726],[0, 0, 6, 0.9912024207260726],-0.9
22:18:47.721913,[0.14168326484269475, 0.033194122320143474, 0.8250996513040597, 0.9863811526795035],[1, 0, 5, 0.9863811526795035],-0.955
22:18:58.795414,[0.1370325696893342, 0.00759367123898913, 0.8550548056591677, 0.9929332210556312],[0, 0, 6, 0.9929332210556312],-0.95
22:19:10.267249,[0.0024024835532882906, 0.176029418475814, 0.821544391257087, 0.9662868390917076],[0, 1, 5, 0.9662868390917076],-0.967
22:19:21.517590,[0.06024053174532301, 0.011121468317125675, 0.9286182235886151, 1.0],[0, 0, 6, 1.0],-0.94
22:19:32.477387,[0.13267031846753022, 0.005807429296114211, 0.8614958312382673, 0.9971153812597223],[0, 0, 6, 0.9971153812597223],-0.942
[0.10243167 0.05273383 0.84479665 0.99120242],0.9
0.10243166902506529,[0, 0, 6, 0.9912024207260726, -0.9]
time,,cu,,gu,,nu,,tris,,,ct,,gt,,nt,,ttris,,reward
22:20:21.999259,[0.5198937368022211, 0.12398627322956346, 0.3555124302102748, 0.9883732093814848],[2, 0, 1, 0.9883732093814848],-0.912
22:20:32.401962,[0.4762908032744776, 0.19093282925627508, 0.33214886559894796, 0.9115142472137575],[2, 0, 1, 0.9115142472137575],-1.009
22:20:42.743775,[0.5413034528240254, 0.4180277809000912, 0.04004624626896702, 0.6167273874414936],[2, 1, 0, 0.6167273874414936],-1.117
22:20:53.086673,[0.2727425898203151, 0.4018752454533412, 0.3253043535723519, 0.7419901749824476],[0, 2, 1, 0.7419901749824476],-0.987
22:21:03.634559,[0.6335735539914144, 0.19627814785115572, 0.16922573529998797, 0.7268131866439616],[2, 1, 0, 0.7268131866439616],-0.916
22:21:14.334238,[0.5198951466766879, 0.12398509099213965, 0.3555121832279378, 0.9883760205565048],[2, 0, 1, 0.9883760205565048],-0.797
22:21:25.057012,[0.22199650855694186, 0.7500417744812763, 0.027599947141997982, 0.31176189780087554],[0, 3, 0, 0.31176189780087554],-1.287
22:21:36.095731,[0.5604769420195366, 0.0035550630302754183, 0.4350778630010056, 0.9959244247546016],[2, 0, 1, 0.9959244247546016],-0.857
22:21:47.047734,[0.0012928884093645282, 0.022745502090093864, 0.9759127464865104, 0.925532423058866],[0, 0, 3, 0.925532423058866],-0.677
22:21:57.756213,[0.0, 0.0, 1.0, 1.0],[0, 0, 3, 1.0],-0.678
22:22:08.458965,[0.0, 0.0, 1.0, 1.0],[0, 0, 3, 1.0],-0.627
[0. 0. 1. 1.],0.627
0.0,[0, 0, 3, 1.0, -0.627]
